date,m06,m11,m16
2015-10-08 16:43:33+00:00,0.69,-0.76,-0.495
2015-10-08 16:58:03+00:00,0.725,-0.63,-0.495
2015-10-08 17:12:32+00:00,0.675,-0.84,-0.605
2015-10-08 20:11:19+00:00,0.65,-0.49,-0.26
2015-10-08 21:52:33+00:00,0.76,-0.83,-0.535
2015-10-08 22:07:03+00:00,0.91,-0.915,-0.76
2015-10-08 22:21:32+00:00,0.865,-0.62,-0.55
2015-10-09 00:03:38+00:00,0.95,-0.86,-0.755
2015-10-09 00:18:07+00:00,0.98,-0.69,-0.755
2015-10-09 00:32:37+00:00,0.97,-1.0350000000000001,-0.875
2015-10-28 18:40:08+00:00,0.9299999999999999,-0.895,-0.73
2015-10-28 18:54:37+00:00,0.795,-0.845,-0.375
2015-10-28 19:09:07+00:00,0.88,-1.0150000000000001,-0.885
2015-12-16 14:55:01+00:00,0.515,-0.5800000000000001,-0.01
2015-12-16 15:23:20+00:00,0.5,-0.575,-0.01
2016-01-11 15:29:08+00:00,0.865,-0.95,-0.52
2016-01-21 16:27:38+00:00,0.875,-0.785,-0.77
2016-01-21 16:55:55+00:00,0.895,0.07,-0.07
2016-01-21 18:01:58+00:00,0.66,-0.65,-0.325
2016-01-22 14:25:33+00:00,0.51,-0.675,-1.005
2016-03-22 17:51:16+00:00,0.48,-0.365,-0.255
2016-03-22 18:25:11+00:00,0.73,-0.77,-0.5
2016-03-24 17:07:22+00:00,0.58,-0.565,-0.195
2016-03-28 16:28:29+00:00,0.88,-0.935,-0.645
2016-05-19 13:25:53+00:00,0.91,-0.94,-0.78
2016-05-19 14:07:06+00:00,0.88,-0.93,-0.72
2016-05-19 20:23:17+00:00,0.96,-1.0350000000000001,-0.955
2016-05-19 20:42:37+00:00,0.905,-0.95,-0.825
2016-05-23 21:11:46+00:00,0.9550000000000001,-0.96,-1.01
2016-06-21 12:43:34+00:00,0.96,-0.5900000000000001,-0.5800000000000001
2016-06-21 13:00:56+00:00,0.925,-0.935,-0.385
2016-09-13 16:05:59+00:00,1.04,-1.32,-1.065
2016-09-21 17:57:21+00:00,0.725,-0.6799999999999999,-0.45499999999999996
2016-09-21 18:14:15+00:00,0.705,-0.76,-0.48
2016-09-21 18:31:08+00:00,0.735,-0.6699999999999999,-0.405
2016-12-16 16:45:33+00:00,0.915,-0.86,-0.885
2016-12-16 17:19:08+00:00,0.81,-0.785,-0.5
2017-01-10 12:40:09+00:00,0.71,-0.75,-0.505
2017-01-10 13:13:43+00:00,0.77,-1.03,-0.54
2017-01-10 13:58:15+00:00,0.69,-0.885,-0.405
2017-01-10 14:32:41+00:00,0.66,-0.87,-0.345
2017-01-20 12:28:58+00:00,0.6799999999999999,-1.02,-0.365
2017-01-20 12:46:13+00:00,0.665,-1.02,-0.49
2017-01-20 15:20:34+00:00,0.61,-0.795,-0.235
2017-01-28 13:02:35+00:00,0.95,-1.2349999999999999,-0.8999999999999999
2017-01-28 13:22:23+00:00,0.95,-1.49,-1.005
2017-02-13 18:17:29+00:00,0.915,-0.9,-0.77
2017-03-10 13:52:20+00:00,0.385,-0.415,0.23
